Loop,DMRG Energy,Bond Dimension,Discarded Weights
-1,-8693.77245329022,5,5.08254343131349E-05
0,-8694.15304602757,6,2.63934781019210E-05
1,-8694.16265992612,7,3.73886605575533E-04
2,-8694.17337782491,8,3.66957745369515E-05
3,-8694.17732862630,9,2.30709270194822E-04
4,-8694.18429349879,10,5.72963975257275E-05
5,-8694.19244789726,11,1.17724382501718E-04
6,-8694.19646834107,13,1.76383982582507E-04
7,-8694.19797998250,15,2.84266962928352E-04
8,-8694.21457269292,17,1.31727443196668E-04
9,-8694.21324467798,19,1.58448290219123E-04
10,-8694.22500746332,21,1.26066347058603E-04
11,-8694.23021720840,24,2.09760118680948E-04
12,-8694.23828774951,27,1.39302344008779E-04
13,-8694.24502032095,30,1.67347361130574E-04
14,-8694.24752615902,33,1.85249894864772E-04
15,-8694.25166978913,37,1.99621217765478E-04
16,-8694.25283617108,41,1.43934776757406E-04
17,-8694.25789837104,46,1.40671196711716E-04
18,-8694.26238963268,51,1.06436207963563E-04
19,-8694.26622337373,57,7.11803276048208E-05
20,-8694.26789388516,63,7.92073635842503E-05
21,-8694.27083030435,70,3.53904729319345E-05
22,-8694.27208765052,77,4.18465186088386E-05
23,-8694.27333868549,85,2.31020821475536E-05
24,-8694.27448932301,94,2.22891550719743E-05
25,-8694.27545704145,104,2.25421208255086E-05
26,-8694.27619199757,115,2.07137249844332E-05
27,-8694.27716263769,127,1.81151067314821E-05
28,-8694.27824579618,140,1.78088235285323E-05
29,-8694.27918419878,154,1.93497979857296E-05
30,-8694.27980594830,170,1.64756697994099E-05
31,-8694.28057013192,188,1.96329687213040E-05
32,-8694.28109429671,207,2.12342633714521E-05
33,-8694.28158103705,228,1.80509463853338E-05
34,-8694.28216975676,251,1.95595793056999E-05
35,-8694.28269978741,277,1.78881992480652E-05
36,-8694.28310480853,305,1.72206760648817E-05
37,-8694.28351528166,336,1.55734615127554E-05
38,-8694.28403277352,370,1.55918025814766E-05
39,-8694.28443855562,408,1.60657995704517E-05
40,-8694.28491138202,449,1.71413656926888E-05
41,-8694.28547560477,494,1.79215948383569E-05
42,-8694.28588885981,544,1.69718273243429E-05
43,-8694.28621224711,599,1.59079725133822E-05
44,-8694.28658754874,659,1.54757683308159E-05
45,-8694.28685351605,725,1.41298123180460E-05
46,-8694.28720298120,798,1.37637812602159E-05
47,-8694.28747076833,878,1.31120063109175E-05
48,-8694.28771918714,966,1.21858923046529E-05
49,-8694.28793888268,1063,1.12821654431738E-05
50,-8694.28812208036,1170,9.97577196126919E-06
51,-8694.28832387125,1287,8.67241066392908E-06
52,-8694.28847872887,1416,7.40966287759917E-06
53,-8694.28861130009,1558,6.86362815437846E-06
