Loop,DMRG Energy,Bond Dimension,Discarded Weights
-1,-5411.91674230241,5,1.00109517880228E-03
0,-5411.54444652620,6,1.26939965268782E-03
1,-5411.92117228967,7,1.40675699552983E-04
2,-5411.58424169614,8,5.82512910717673E-04
3,-5411.94739189689,9,1.25396586523946E-04
4,-5411.92555629923,10,1.83461665229589E-04
5,-5411.94901957550,11,1.48625991489222E-04
6,-5411.96787271988,13,1.88109756716883E-04
7,-5411.96441168321,15,1.45398021411801E-04
8,-5411.98294063706,17,2.00434095418562E-04
9,-5411.98468518139,19,8.39419866744068E-05
10,-5412.00269381981,21,1.92445471510511E-04
11,-5412.01313454292,24,1.73180263902436E-04
12,-5412.01164166865,27,1.51572842712662E-04
13,-5412.02761397305,30,9.65280964390975E-05
14,-5412.02575392981,33,1.24356786028801E-04
15,-5412.03992100106,37,1.38648552015186E-04
16,-5412.04406871999,41,1.12294022501589E-04
17,-5412.05283962349,46,1.22212686537421E-04
18,-5412.05497822673,51,1.09772866374315E-04
19,-5412.06040492883,57,1.17425774773306E-04
20,-5412.06461318088,63,8.76222569730779E-05
21,-5412.06663266563,70,9.19297074510898E-05
22,-5412.06697790946,77,8.34852792114750E-05
23,-5412.06794870450,85,7.60769404646794E-05
24,-5412.06985234576,94,6.61817794322971E-05
25,-5412.07088414943,104,7.44343114989491E-05
26,-5412.07159049861,115,6.57255451635272E-05
27,-5412.07293163199,127,7.11813385088334E-05
28,-5412.07351189790,140,6.91674201981182E-05
29,-5412.07464904463,154,6.34316472014959E-05
30,-5412.07442345378,150,7.05673420970256E-05
31,-5412.07568496282,165,6.48368946167955E-05
32,-5412.07664158268,182,6.88422806612879E-05
33,-5412.07742558782,201,6.71930278066447E-05
34,-5412.07802802867,222,6.26804404730677E-05
35,-5412.07878492957,245,6.03765357800939E-05
36,-5412.07951668787,270,5.99396830428696E-05
37,-5412.08021106898,297,5.87790767963058E-05
38,-5412.08070069871,327,4.85747080355667E-05
39,-5412.08124029701,360,4.59134643218183E-05
40,-5412.08165482512,397,3.94969101339599E-05
41,-5412.08227996318,437,3.72198927987385E-05
42,-5412.08290832376,481,3.36348388123394E-05
43,-5412.08339128827,530,3.07637177738361E-05
44,-5412.08390661160,583,2.90776008134035E-05
