Loop,DMRG Energy,Bond Dimension,Discarded Weights
-1,-5103.75055117253,5,8.75644402529000E-03
0,-5103.74964811446,6,1.08381646362849E-03
1,-5103.77052490958,7,4.27849511035187E-03
2,-5103.78259310729,8,4.08523543614518E-03
3,-5103.79140034933,9,1.24917908490335E-03
4,-5103.78965040484,10,3.31499636079534E-03
5,-5103.80039980157,11,1.71333722150798E-03
6,-5103.81105774736,13,1.82817468668153E-03
7,-5103.81414689930,15,1.54018821656040E-03
8,-5103.81781545521,17,1.56436227692691E-03
9,-5103.82470812886,19,1.30796305511805E-03
10,-5103.82805500580,21,7.86002969823968E-04
11,-5103.83316028737,24,9.99194522515873E-04
12,-5103.83663006350,27,7.34499899505492E-04
13,-5103.84156389854,30,5.52679176425052E-04
14,-5103.84770483756,33,5.77171231310454E-04
15,-5103.85012543711,37,4.65223340060236E-04
16,-5103.85488245341,41,4.26372588697027E-04
17,-5103.85994089363,46,4.79140092198200E-04
18,-5103.86160138294,51,3.08663618853618E-04
19,-5103.86286883559,57,2.90085180610117E-04
20,-5103.86600939060,63,2.22989908783683E-04
21,-5103.86732294485,70,2.40125198329427E-04
22,-5103.87001127353,77,2.11292897233787E-04
23,-5103.87265306516,85,1.87864705485767E-04
24,-5103.87446920642,94,1.96761271913641E-04
25,-5103.87517849484,104,1.34532183498100E-04
26,-5103.87717679409,115,1.57094566484255E-04
27,-5103.87784815904,127,1.23425906399899E-04
28,-5103.87862195842,140,9.46618082664122E-05
29,-5103.87935214450,154,8.54099168009000E-05
30,-5103.88020557320,170,8.29622477123593E-05
31,-5103.88105403414,188,8.25899289966813E-05
32,-5103.88165339447,207,7.55699813331480E-05
33,-5103.88219292103,228,7.10327991923984E-05
34,-5103.88271543547,251,6.35605204532588E-05
35,-5103.88318038061,277,5.50408346252913E-05
36,-5103.88366397407,305,4.96955793579322E-05
37,-5103.88400736179,336,4.49872026556914E-05
38,-5103.88446037725,370,4.35819878791106E-05
39,-5103.88477473902,408,3.90883159754631E-05
40,-5103.88506182174,449,3.44025737428220E-05
41,-5103.88537274165,494,3.38279609002014E-05
42,-5103.88565117425,544,3.20534420079169E-05
43,-5103.88588270106,599,2.93486585206994E-05
44,-5103.88609443987,659,2.76350291372137E-05
